Order,Product,Quantity,Length,Width,Height,Weight
88838,62189,24,378,198,89,6.42
88838,68912,41,290,240,152,10.011
88838,93537,18,266,199,220,7.795
88838,85467,3,160,160,111,1.781
88838,41578,20,230,194,314,9.526
88838,11940,24,364,195,216,12.985
88838,12664,12,364,195,216,12.899
71529,63098,4,260,295,170,10.473
71529,47049,14,293,293,192,10.383
71529,58234,4,149,239,137,3.25
71529,15655,1,211,230,264,12.07
71529,10772,8,225,225,180,5.19
71529,70227,4,211,230,264,12.218
71529,72217,10,293,293,192,10.383
71529,66597,5,300,160,216,10.146
71529,75315,22,293,293,192,10.383
71529,40304,4,385,110,35,10.473
71529,43746,1,300,160,216,8.757
71529,55032,6,397,397,207,7.067
71529,88941,2,300,160,216,10.601
71529,89149,4,211,230,264,12.569
71529,40441,2,300,160,216,8.757
71529,85467,2,160,160,111,1.781
71529,33944,6,300,160,210,9.289
71529,68305,8,405,271,164,13.646
71529,44664,2,225,225,180,5.19
71529,69750,6,130,194,290,6.144
71529,89391,1,300,160,210,8.477
71529,23395,4,225,225,180,5.69
71529,37644,1,300,160,216,9.924
71529,74258,2,244,164,274,6.06
71529,84979,42,266,266,266,10.369
71529,87191,1,193,378,318,9.5
71529,71507,4,211,230,264,12.126
71529,64393,4,263,221,253,8.815
28067,61439,6,266,266,266,10.369
28067,73852,11,293,293,192,10.383
28067,28862,4,300,160,216,8.953
28067,30267,2,300,205,125,3.545
28067,74513,2,149,239,137,3.25
28067,68231,1,385,160,215,10.727
28067,47049,11,293,293,192,10.383
28067,89149,1,211,230,264,12.569
28067,40304,4,385,110,35,10.473
28067,71507,4,211,230,264,12.126
28067,23395,3,225,225,180,5.69
28067,52454,8,225,225,180,5.19
28067,86799,2,266,266,266,10.369
28067,25209,1,244,164,274,5.811
28067,75367,31,293,293,192,10.383
28067,34299,4,130,194,290,6.026
28067,58540,3,211,230,264,12.234
28067,89429,2,211,230,264,12.25
28067,68475,1,196,196,103,2.464
28067,77109,4,266,130,143,2.42
28067,99221,10,225,225,180,5.19
28067,22798,4,130,194,290,6.108
28067,75024,3,244,164,274,5.811
28067,69750,6,130,194,290,6.144
28067,25895,1,300,160,216,10.142
28067,27470,6,196,196,103,2.364
28067,84979,48,266,266,266,10.369
28067,64393,10,263,221,253,8.815
28067,70696,4,387,227,151,10.382
28067,82378,2,130,194,290,6.053
28067,77414,5,225,225,180,5.19
28067,30471,2,266,130,143,2.338
28067,62538,1,244,164,274,5.811
28067,48534,18,225,225,180,5.19
28067,46064,15,156,156,175,3.274
28067,47077,18,225,225,180,5.19
28067,18967,2,160,160,111,1.781
75197,53900,36,130,194,290,6.278
75197,79723,1,378,198,89,6.435
75197,40853,1,60,91,210,435.419
75197,53803,3,225,225,180,5.186
75197,99937,6,290,160,215,8.628
75197,48534,18,225,225,180,5.19
75197,94251,4,291,196,139,6.312
75197,34894,10,378,191,115,7.506
75197,27535,40,300,160,216,8.764
75197,89149,1,211,230,264,12.569
75197,86035,9,387,227,151,10.382
75197,72217,3,293,293,192,10.383
75197,72622,20,300,160,216,10.49
75197,27470,5,196,196,103,2.364
75197,88941,20,300,160,216,10.601
75197,34977,18,225,225,180,5.19
75197,68231,13,385,160,215,10.727
75197,95850,6,295,260,170,10.471
75197,74513,25,149,239,137,3.25
75197,24475,12,364,195,216,13.091
75197,96753,1,300,160,216,8.784
75197,68912,1,290,240,152,10.011
75197,92248,11,293,293,192,10.383
75197,70696,18,387,227,151,10.382
75197,68305,33,405,271,164,13.646
75197,28862,10,300,160,216,8.953
75197,19833,5,225,225,179,5.0
75197,59944,3,295,260,170,10.471
75197,55831,1,300,160,212,10.144
75197,58648,20,300,160,216,10.229
75197,89810,12,378,191,115,7.106
75197,59632,66,266,130,143,2.424
75197,25016,5,364,195,216,12.935
75197,99221,18,225,225,180,5.19
75197,91738,1,75,74,210,360.726
75197,64393,15,263,221,253,8.815
75197,44647,20,300,160,216,8.741
75197,22798,12,130,194,290,6.108
75197,57007,21,244,164,274,6.06
75197,72628,54,130,194,290,6.113
75197,40943,36,224,224,192,5.199
75197,10772,4,225,225,180,5.19
75197,46064,35,156,156,175,3.274
75197,83305,1,211,230,264,12.146
75197,33889,12,378,191,115,7.266
75197,77414,18,225,225,180,5.19
75197,30470,10,300,160,210,9.081
75197,33944,40,300,160,210,9.289
75197,33960,1,331,252,281,12.601
75197,88772,4,225,225,180,5.19
75197,74258,21,244,164,274,6.06
75197,30471,27,266,130,143,2.338
75197,38243,1,300,160,216,9.861
75197,85417,11,293,293,192,10.383
75197,69750,12,130,194,290,6.144
75197,36798,2,225,225,180,5.19
18444,72421,2,331,252,281,12.613
18444,60034,2,331,252,281,12.613
18444,56746,1,331,252,281,12.589
18444,76723,1,331,252,281,12.638
18444,57794,1,331,252,281,12.613
64425,25945,10,387,227,151,10.382
64425,27762,16,291,196,139,6.312
64425,36798,36,225,225,180,5.19
64425,33944,20,300,160,210,9.289
64425,63719,20,300,160,216,8.928
64425,24883,20,300,160,216,10.3
64425,96753,20,300,160,216,8.784
64425,55032,12,397,397,207,7.067
64425,70696,10,387,227,151,10.382
64425,38243,20,300,160,216,9.861
64425,97248,36,225,225,180,5.19
64425,77109,81,266,130,143,2.42
64425,25790,54,266,130,143,2.624
64425,25209,21,244,164,274,5.811
64425,55762,8,291,196,139,6.312
64425,30470,40,300,160,210,9.081
64425,16118,2,300,160,216,8.939
64425,89810,36,378,191,115,7.106
64425,47077,18,225,225,180,5.19
64425,75023,4,244,164,274,5.811
64425,95520,36,130,194,290,6.226
64425,68475,3,196,196,103,2.464
64425,33889,12,378,191,115,7.266
64425,44647,20,300,160,216,8.741
64425,53900,12,130,194,290,6.278
64425,28862,20,300,160,216,8.953
64425,72622,20,300,160,216,10.49
64425,37644,60,300,160,216,9.924
64425,94364,1,295,260,170,10.471
64425,71507,15,211,230,264,12.126
64425,97859,7,300,160,216,10.025
64425,75315,22,293,293,192,10.383
64425,69750,2,130,194,290,6.144
64425,59632,54,266,130,143,2.424
85215,18963,40,300,160,216,8.741
85215,68231,13,385,160,215,10.727
85215,35802,27,266,130,143,2.338
85215,66597,20,300,160,216,10.146
85215,69750,6,130,194,290,6.144
85215,40304,1,385,110,35,10.473
85215,57007,42,244,164,274,6.06
85215,40943,69,224,224,192,5.199
85215,47837,25,149,239,137,3.25
85215,24475,12,364,195,216,13.091
85215,25016,1,364,195,216,12.935
85215,12664,1,364,195,216,12.899
85215,58648,20,300,160,216,10.229
85215,23079,20,300,160,216,8.876
85215,92248,11,293,293,192,10.383
85215,33944,20,300,160,210,9.289
85215,63098,24,260,295,170,10.473
85215,15655,15,211,230,264,12.07
85215,46392,1,331,252,281,12.611
85215,68305,2,405,271,164,13.646
85215,89391,1,300,160,210,8.477
85215,99769,20,300,160,216,8.569
85215,94364,12,295,260,170,10.471
85215,99221,36,225,225,180,5.19
85215,74258,1,244,164,274,6.06
85215,36015,61,300,160,216,9.197
85215,48534,36,225,225,180,5.19
85215,34299,36,130,194,290,6.026
85215,37644,20,300,160,216,9.924
85215,70696,9,387,227,151,10.382
85215,75367,22,293,293,192,10.383
85215,23406,11,378,191,115,7.266
85215,80886,1,300,160,216,8.509
85215,89149,2,211,230,264,12.569
85215,97859,20,300,160,216,10.025
85215,17449,11,293,293,192,10.383
85215,44647,20,300,160,216,8.741
85215,85467,10,160,160,111,1.781
85215,58234,25,149,239,137,3.25
85215,55762,2,291,196,139,6.312
85215,49668,1,270,270,300,10.584
85215,79723,1,378,198,89,6.435
85215,55032,12,397,397,207,7.067
85215,25895,20,300,160,216,10.142
85215,73852,11,293,293,192,10.383
85215,89429,15,211,230,264,12.25
85215,95137,25,149,239,137,3.25
85215,69734,1,266,199,220,7.9
85215,22798,12,130,194,290,6.108
85215,63719,20,300,160,216,8.928
85215,80416,80,300,160,216,10.042
85215,68912,13,290,240,152,10.011
85215,82378,36,130,194,290,6.053
85215,30471,54,266,130,143,2.338
85215,33889,12,378,191,115,7.266
85215,98940,1,244,164,274,5.811
85215,68475,2,196,196,103,2.464
85215,12595,10,331,252,281,12.591
85215,84132,20,300,160,216,8.811
98390,10122,1,381,136,109,5.398
98390,69750,12,130,194,290,6.144
98390,84132,20,300,160,216,8.811
98390,47837,4,149,239,137,3.25
98390,87191,12,193,378,318,9.5
98390,40943,18,224,224,192,5.199
98390,55831,40,300,160,212,10.144
98390,80886,20,300,160,216,8.509
98390,39568,40,300,160,216,10.453
98390,84243,20,300,158,220,9.255
98390,37644,20,300,160,216,9.924
98390,89149,1,211,230,264,12.569
98390,35003,27,266,130,143,2.576
98390,58234,25,149,239,137,3.25
98390,63098,12,260,295,170,10.473
98390,94251,4,291,196,139,6.312
98390,97859,8,300,160,216,10.025
98390,57448,18,225,225,180,5.199
98390,28862,40,300,160,216,8.953
98390,63719,2,300,160,216,8.928
98390,68231,13,385,160,215,10.727
98390,30471,27,266,130,143,2.338
98390,88941,20,300,160,216,10.601
98390,94364,24,295,260,170,10.471
98390,47843,16,291,196,139,6.162
98390,70696,9,387,227,151,10.382
98390,68475,24,196,196,103,2.464
98390,62174,20,300,160,216,8.664
98390,73626,1,331,252,281,12.582
98390,46646,20,300,160,216,10.253
98390,24883,40,300,160,216,10.3
98390,47782,1,300,160,210,9.129
98390,72412,1,300,205,125,3.545
98390,58648,4,300,160,216,10.229
98390,25016,12,364,195,216,12.935
98390,47930,1,381,136,109,5.439
98390,36798,18,225,225,180,5.19
98390,39563,24,149,239,137,3.25
98390,13229,25,149,239,137,3.25
98390,93537,1,266,199,220,7.795
98390,53803,18,225,225,180,5.186
98390,58540,4,211,230,264,12.234
98390,23395,36,225,225,180,5.69
98390,73067,20,300,160,216,10.439
98390,15655,15,211,230,264,12.07
98390,25895,20,300,160,216,10.142
98390,64393,15,263,221,253,8.815
98390,87811,2,335,250,264,14.881
98390,92885,1,364,195,216,12.947
98390,55762,2,291,196,139,6.312
98390,66597,3,300,160,216,10.146
98390,38243,4,300,160,216,9.861
98390,41578,20,230,194,314,9.526
98390,74258,2,244,164,274,6.06
98390,59944,12,295,260,170,10.471
98390,27762,32,291,196,139,6.312
98390,25209,21,244,164,274,5.811
98390,57007,21,244,164,274,6.06
98390,40304,12,385,110,35,10.473
98390,71507,30,211,230,264,12.126
98390,37716,6,263,221,253,9.415
98390,70227,15,211,230,264,12.218
98390,20366,1,378,198,89,6.418
98390,35794,2,378,198,89,6.394
98390,17449,11,293,293,192,10.383
98390,72787,3,378,198,89,6.412
98390,19833,3,225,225,179,5.0
98390,34299,36,130,194,290,6.026
98390,99221,18,225,225,180,5.19
98390,16118,40,300,160,216,8.939
98390,72628,18,130,194,290,6.113
98390,27470,6,196,196,103,2.364
98390,37019,10,331,252,281,12.601
98390,85467,33,160,160,111,1.781
98390,25366,83,300,160,216,9.135
98390,85667,15,300,160,216,10.238
98390,97248,18,225,225,180,5.19
98390,59155,38,160,160,111,1.781
98390,86035,2,387,227,151,10.382
98390,92248,11,293,293,192,10.383
98390,89810,36,378,191,115,7.106
98390,30665,1,378,198,89,6.423
98390,30267,6,300,205,125,3.545
84621,10772,18,225,225,180,5.19
84621,40441,1,300,160,216,8.757
84621,47077,18,225,225,180,5.19
84621,85467,6,160,160,111,1.781
84621,71507,6,211,230,264,12.126
84621,70696,2,387,227,151,10.382
84621,28862,2,300,160,216,8.953
84621,59155,15,160,160,111,1.781
84621,43061,9,390,256,210,5.5
84621,47049,11,293,293,192,10.383
84621,89149,2,211,230,264,12.569
84621,58540,15,211,230,264,12.234
84621,46064,35,156,156,175,3.274
84621,89810,60,378,191,115,7.106
84621,53900,6,130,194,290,6.278
84621,19833,7,225,225,179,5.0
11376,35802,27,266,130,143,2.338
11376,40943,18,224,224,192,5.199
11376,76440,2,224,224,192,5.199
11376,68912,13,290,240,152,10.011
11376,57007,10,244,164,274,6.06
11376,47843,4,291,196,139,6.162
11376,30471,27,266,130,143,2.338
11376,37019,10,331,252,281,12.601
11376,89391,1,300,160,210,8.477
11376,82378,36,130,194,290,6.053
11376,98940,1,244,164,274,5.811
11376,84132,20,300,160,216,8.811
11376,57942,20,225,225,199,5.219
11376,59944,1,295,260,170,10.471
11376,25016,1,364,195,216,12.935
11376,89149,1,211,230,264,12.569
11376,39563,28,149,239,137,3.25
11376,47837,25,149,239,137,3.25
11376,15655,2,211,230,264,12.07
11376,55831,40,300,160,212,10.144
11376,64393,15,263,221,253,8.815
11376,25209,10,244,164,274,5.811
11376,40441,20,300,160,216,8.757
11376,68475,8,196,196,103,2.464
11376,37644,20,300,160,216,9.924
11376,70227,1,211,230,264,12.218
11376,17449,11,293,293,192,10.383
11376,93537,1,266,199,220,7.795
11376,80886,20,300,160,216,8.509
11376,68231,13,385,160,215,10.727
93239,62189,24,378,198,89,6.42
93239,48534,18,225,225,180,5.19
93239,55831,1,300,160,212,10.144
93239,55762,16,291,196,139,6.312
93239,99221,2,225,225,180,5.19
93239,64393,10,263,221,253,8.815
93239,53900,36,130,194,290,6.278
93239,40943,36,224,224,192,5.199
93239,59632,27,266,130,143,2.424
93239,68912,1,290,240,152,10.011
93239,56431,12,378,191,115,7.186
93239,63098,12,260,295,170,10.473
93239,18963,2,300,160,216,8.741
93239,44647,20,300,160,216,8.741
93239,77414,18,225,225,180,5.19
93239,30471,54,266,130,143,2.338
93239,22798,36,130,194,290,6.108
93239,70696,9,387,227,151,10.382
93239,40304,1,385,110,35,10.473
93239,57007,21,244,164,274,6.06
93239,24475,2,364,195,216,13.091
93239,89810,12,378,191,115,7.106
93239,10772,4,225,225,180,5.19
93239,74258,21,244,164,274,6.06
93239,26650,2,225,225,180,5.19
93239,68231,13,385,160,215,10.727
93239,86035,9,387,227,151,10.382
93239,99769,20,300,160,216,8.569
93239,33944,20,300,160,210,9.289
93239,85417,11,293,293,192,10.383
93239,44665,60,378,198,89,6.471
93239,47837,25,149,239,137,3.25
93239,68305,1,405,271,164,13.646
93239,74513,25,149,239,137,3.25
93239,34894,12,378,191,115,7.506
93239,62174,20,300,160,216,8.664
93239,70227,15,211,230,264,12.218
93239,92248,11,293,293,192,10.383
93239,68475,24,196,196,103,2.464
93239,13229,25,149,239,137,3.25
93239,46064,1,156,156,175,3.274
93239,33889,12,378,191,115,7.266
93239,79723,2,378,198,89,6.435
93239,88772,4,225,225,180,5.19
93239,84132,20,300,160,216,8.811
93239,84243,1,300,158,220,9.255
93239,95520,36,130,194,290,6.226
93239,12664,12,364,195,216,12.899
93239,50430,12,378,198,89,6.423
93239,43746,20,300,160,216,8.757
17237,68912,14,290,240,152,10.011
86932,47049,25,293,293,192,10.383
86932,34299,4,130,194,290,6.026
86932,99221,5,225,225,180,5.19
86932,73852,11,293,293,192,10.383
86932,43746,8,300,160,216,8.757
86932,58648,3,300,160,216,10.229
86932,46064,4,156,156,175,3.274
86932,53900,14,130,194,290,6.278
86932,68305,5,405,271,164,13.646
86932,37716,1,263,221,253,9.415
86932,63098,2,260,295,170,10.473
86932,71507,4,211,230,264,12.126
86932,10772,18,225,225,180,5.19
86932,72217,11,293,293,192,10.383
86932,39568,3,300,160,216,10.453
86932,75367,4,293,293,192,10.383
86932,25895,4,300,160,216,10.142
86932,68231,5,385,160,215,10.727
86932,84979,2,266,266,266,10.369
86932,17542,18,225,225,180,5.186
86932,53803,10,225,225,180,5.186
86932,19833,4,225,225,179,5.0
86932,75023,1,244,164,274,5.811
86932,74513,2,149,239,137,3.25
86932,75024,2,244,164,274,5.811
86932,92248,11,293,293,192,10.383
86932,70696,2,387,227,151,10.382
86932,28862,20,300,160,216,8.953
86932,70227,15,211,230,264,12.218
86932,22798,2,130,194,290,6.108
86932,40304,4,385,110,35,10.473
86932,40441,2,300,160,216,8.757
86932,48534,18,225,225,180,5.19
86932,43061,9,390,256,210,5.5
86932,95850,12,295,260,170,10.471
59236,70227,2,211,230,264,12.218
59236,53900,36,130,194,290,6.278
59236,43061,4,390,256,210,5.5
59236,37019,1,331,252,281,12.601
59236,71507,4,211,230,264,12.126
59236,86035,9,387,227,151,10.382
59236,19833,18,225,225,179,5.0
59236,57007,21,244,164,274,6.06
59236,46064,4,156,156,175,3.274
59236,15655,2,211,230,264,12.07
59236,99769,1,300,160,216,8.569
59236,82378,20,130,194,290,6.053
59236,56431,12,378,191,115,7.186
59236,84132,20,300,160,216,8.811
59236,55032,6,397,397,207,7.067
59236,94251,4,291,196,139,6.312
59236,24475,3,364,195,216,13.091
59236,74258,1,244,164,274,6.06
59236,25895,10,300,160,216,10.142
59236,19741,1,244,164,274,5.811
59236,68305,8,405,271,164,13.646
59236,58540,15,211,230,264,12.234
59236,87191,6,193,378,318,9.5
59236,58648,2,300,160,216,10.229
59236,53803,18,225,225,180,5.186
59236,33944,20,300,160,210,9.289
59236,26650,18,225,225,180,5.19
59236,66597,5,300,160,216,10.146
59236,77109,54,266,130,143,2.42
59236,75024,2,244,164,274,5.811
59236,68231,6,385,160,215,10.727
59236,39563,18,149,239,137,3.25
59236,89429,2,211,230,264,12.25
59236,23079,5,300,160,216,8.876
59236,44647,20,300,160,216,8.741
59236,25209,21,244,164,274,5.811
59236,94364,3,295,260,170,10.471
59236,35802,12,266,130,143,2.338
59236,79723,4,378,198,89,6.435
59236,28862,5,300,160,216,8.953
59236,23395,8,225,225,180,5.69
59236,87555,1,244,164,274,5.811
59236,80416,20,300,160,216,10.042
59236,55831,20,300,160,212,10.144
59236,17542,4,225,225,180,5.186
59236,70696,10,387,227,151,10.382
59236,63098,8,260,295,170,10.473
38127,44664,2,225,225,180,5.19
38127,55032,3,397,397,207,7.067
38127,72217,11,293,293,192,10.383
38127,28862,6,300,160,216,8.953
38127,47077,36,225,225,180,5.19
38127,27470,10,196,196,103,2.364
38127,75315,11,293,293,192,10.383
38127,58234,4,149,239,137,3.25
38127,57942,20,225,225,199,5.219
38127,57007,6,244,164,274,6.06
38127,89429,2,211,230,264,12.25
38127,99221,6,225,225,180,5.19
38127,19833,18,225,225,179,5.0
38127,40304,3,385,110,35,10.473
38127,23395,9,225,225,180,5.69
38127,86799,1,266,266,266,10.369
38127,88772,5,225,225,180,5.19
38127,75024,2,244,164,274,5.811
38127,85467,8,160,160,111,1.781
38127,48534,6,225,225,180,5.19
38127,58540,4,211,230,264,12.234
38127,82378,2,130,194,290,6.053
38127,10772,8,225,225,180,5.19
38127,46064,12,156,156,175,3.274
38127,69750,6,130,194,290,6.144
38127,52454,5,225,225,180,5.19
38127,35802,4,266,130,143,2.338
38127,94364,1,295,260,170,10.471
38127,84243,1,300,158,220,9.255
77535,17542,50,225,225,180,5.186
77535,74513,2,149,239,137,3.25
77535,71507,2,211,230,264,12.126
77535,68231,1,385,160,215,10.727
77535,87191,3,193,378,318,9.5
77535,73852,10,293,293,192,10.383
77535,70227,5,211,230,264,12.218
77535,25895,2,300,160,216,10.142
77535,49668,4,270,270,300,10.584
77535,33944,1,300,160,210,9.289
77535,57007,3,244,164,274,6.06
77535,47049,22,293,293,192,10.383
77535,10772,11,225,225,180,5.19
77535,44664,10,225,225,180,5.19
77535,36015,1,300,160,216,9.197
77535,39568,3,300,160,216,10.453
77535,58540,2,211,230,264,12.234
77535,53900,8,130,194,290,6.278
77535,75367,11,293,293,192,10.383
77535,19833,4,225,225,179,5.0
77535,68305,4,405,271,164,13.646
77535,77109,10,266,130,143,2.42
77535,58648,3,300,160,216,10.229
77535,43061,9,390,256,210,5.5
77535,18967,4,160,160,111,1.781
77535,62538,2,244,164,274,5.811
77535,28862,4,300,160,216,8.953
77535,99221,18,225,225,180,5.19
77535,47077,6,225,225,180,5.19
77535,26650,10,225,225,180,5.19
81901,46064,12,156,156,175,3.274
81901,26650,36,225,225,180,5.19
81901,87191,12,193,378,318,9.5
81901,37716,15,263,221,253,9.415
81901,57942,20,225,225,199,5.219
81901,15655,2,211,230,264,12.07
81901,68231,2,385,160,215,10.727
81901,49668,12,270,270,300,10.584
81901,34299,2,130,194,290,6.026
81901,22798,2,130,194,290,6.108
81901,74258,21,244,164,274,6.06
81901,43746,1,300,160,216,8.757
81901,95520,18,130,194,290,6.226
81901,95850,2,295,260,170,10.471
81901,72217,11,293,293,192,10.383
81901,77414,18,225,225,180,5.19
81901,93537,36,266,199,220,7.795
26901,55762,1,291,196,139,6.312
26901,53803,18,225,225,180,5.186
26901,68231,1,385,160,215,10.727
26901,26650,5,225,225,180,5.19
26901,25209,10,244,164,274,5.811
26901,28862,3,300,160,216,8.953
26901,18967,8,160,160,111,1.781
26901,47077,4,225,225,180,5.19
26901,70227,2,211,230,264,12.218
26901,27470,4,196,196,103,2.364
26901,40304,4,385,110,35,10.473
26901,17542,4,225,225,180,5.186
26901,10772,18,225,225,180,5.19
26901,34299,1,130,194,290,6.026
26901,73852,2,293,293,192,10.383
26901,66597,2,300,160,216,10.146
26901,21944,3,293,293,192,10.383
26901,38243,12,300,160,216,9.861
26901,48534,10,225,225,180,5.19
26901,19833,9,225,225,179,5.0
26901,88941,6,300,160,216,10.601
26901,57007,3,244,164,274,6.06
26901,33944,7,300,160,210,9.289
26901,85467,4,160,160,111,1.781
26901,89810,2,378,191,115,7.106
26901,86799,48,266,266,266,10.369
26901,55032,3,397,397,207,7.067
26901,53900,4,130,194,290,6.278
26901,47049,11,293,293,192,10.383
26901,43061,6,390,256,210,5.5
26901,24475,1,364,195,216,13.091
45813,63098,12,260,295,170,10.473
45813,27535,20,300,160,216,8.764
45813,40943,18,224,224,192,5.199
45813,48534,18,225,225,180,5.19
45813,57448,18,225,225,180,5.199
45813,74258,21,244,164,274,6.06
45813,35003,1,266,130,143,2.576
45813,61866,20,300,158,220,8.838
45813,23395,18,225,225,180,5.69
45813,40441,20,300,160,216,8.757
45813,84132,20,300,160,216,8.811
45813,93537,1,266,199,220,7.795
45813,18963,20,300,160,216,8.741
45813,68231,13,385,160,215,10.727
45813,25016,2,364,195,216,12.935
45813,56431,12,378,191,115,7.186
45813,72622,20,300,160,216,10.49
45813,34894,3,378,191,115,7.506
45813,62538,2,244,164,274,5.811
45813,98940,4,244,164,274,5.811
45813,34299,36,130,194,290,6.026
45813,95520,18,130,194,290,6.226
45813,12595,1,331,252,281,12.591
45813,92248,1,293,293,192,10.383
45813,95850,6,295,260,170,10.471
45813,40304,1,385,110,35,10.473
45813,74513,25,149,239,137,3.25
45813,79723,4,378,198,89,6.435
45813,68912,13,290,240,152,10.011
45813,50430,2,378,198,89,6.423
45813,68475,24,196,196,103,2.464
45813,15655,1,211,230,264,12.07
45813,37019,10,331,252,281,12.601
11039,77414,18,225,225,180,5.19
11039,75315,6,293,293,192,10.383
11039,58540,3,211,230,264,12.234
11039,23395,2,225,225,180,5.69
11039,66597,3,300,160,216,10.146
11039,47049,5,293,293,192,10.383
11039,70227,4,211,230,264,12.218
11039,40304,2,385,110,35,10.473
11039,53803,5,225,225,180,5.186
11039,68231,1,385,160,215,10.727
11039,68305,10,405,271,164,13.646
11039,64393,10,263,221,253,8.815
11039,47077,3,225,225,180,5.19
11039,70696,6,387,227,151,10.382
11039,89149,1,211,230,264,12.569
11039,21944,1,293,293,192,10.383
11039,34299,2,130,194,290,6.026
11039,25895,10,300,160,216,10.142
11039,57942,4,225,225,199,5.219
11039,10772,9,225,225,180,5.19
11039,86799,1,266,266,266,10.369
11039,40441,1,300,160,216,8.757
11039,43061,2,390,256,210,5.5
11039,28862,5,300,160,216,8.953
11039,98940,1,244,164,274,5.811
11039,82378,1,130,194,290,6.053
11039,88772,4,225,225,180,5.19
75252,37716,3,263,221,253,9.415
75252,46064,1,156,156,175,3.274
75252,27470,2,196,196,103,2.364
75252,24475,12,364,195,216,13.091
75252,89149,2,211,230,264,12.569
75252,21219,1,46,75,148,368.696
75252,22798,36,130,194,290,6.108
75252,34894,10,378,191,115,7.506
75252,77414,36,225,225,180,5.19
75252,68912,2,290,240,152,10.011
75252,53900,36,130,194,290,6.278
87553,70696,1,387,227,151,10.382
87553,34299,5,130,194,290,6.026
87553,23395,4,225,225,180,5.69
87553,75367,2,293,293,192,10.383
87553,19741,12,244,164,274,5.811
87553,71507,1,211,230,264,12.126
87553,30267,6,300,205,125,3.545
87553,40304,2,385,110,35,10.473
87553,52454,18,225,225,180,5.19
87553,26650,5,225,225,180,5.19
87553,47049,11,293,293,192,10.383
87553,35003,2,266,130,143,2.576
87553,10772,5,225,225,180,5.19
87553,47077,18,225,225,180,5.19
87553,22798,2,130,194,290,6.108
43689,72622,20,300,160,216,10.49
43689,89149,2,211,230,264,12.569
43689,48534,18,225,225,180,5.19
43689,95850,6,295,260,170,10.471
88783,47049,11,293,293,192,10.383
88783,30267,3,300,205,125,3.545
88783,71507,7,211,230,264,12.126
88783,58540,3,211,230,264,12.234
88783,10772,15,225,225,180,5.19
88783,99221,5,225,225,180,5.19
88783,43061,5,390,256,210,5.5
88783,28862,3,300,160,216,8.953
88783,70696,4,387,227,151,10.382
88783,17542,9,225,225,180,5.186
88783,53803,60,225,225,180,5.186
88783,75024,1,244,164,274,5.811
88783,70227,6,211,230,264,12.218
88783,68231,5,385,160,215,10.727
88783,22798,10,130,194,290,6.108
88783,69750,2,130,194,290,6.144
88783,40304,2,385,110,35,10.473
88783,47077,3,225,225,180,5.19
88783,82378,9,130,194,290,6.053
88783,25895,5,300,160,216,10.142
88783,63098,1,260,295,170,10.473
88783,57007,2,244,164,274,6.06
88783,75023,3,244,164,274,5.811
88783,69734,1,266,199,220,7.9
88783,87191,2,193,378,318,9.5
88783,63719,20,300,160,216,8.928
88783,26650,5,225,225,180,5.19
88783,89391,1,300,160,210,8.477
